OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
101,459,ASHE (ARTHUR) BEACH,POINT (-87.55781280453436 41.762574208930275),PLAYGROUND,OUTDOOR,-87.5578128,41.76257421,1528
102,459,ASHE (ARTHUR) BEACH,POINT (-87.55828553167562 41.76218870584422),TENNIS COURT,OUTDOOR,-87.55828553,41.76218871,1529
103,459,ASHE (ARTHUR) BEACH,POINT (-87.55813130443471 41.76227474964502),TENNIS COURT,OUTDOOR,-87.5581313,41.76227475,1530
104,427,ASHMORE,POINT (-87.74818672442976 41.96866399458474),PLAYGROUND PARK,OUTDOOR,-87.74818672,41.968664,1531
105,321,ASPEN,POINT (-87.62418441223066 41.81712721012),PLAYGROUND PARK,OUTDOOR,-87.62418441,41.81712721,1532
106,343,ASTER,POINT (-87.6558505712144 41.96661706817936),PLAYGROUND PARK,OUTDOOR,-87.65585057,41.96661707,1533
107,80,ATHLETIC FIELD,POINT (-87.7174051385414 41.94699225277527),BASKETBALL COURT,OUTDOOR,-87.71740514,41.94699225,1534
108,80,ATHLETIC FIELD,POINT (-87.71736347856483 41.9474652598149),BASEBALL JR/SOFTBALL,OUTDOOR,-87.71736348,41.94746526,1535
109,80,ATHLETIC FIELD,POINT (-87.716713856903 41.948133528156056),BASEBALL JR/SOFTBALL,OUTDOOR,-87.71671386,41.94813353,1536
110,80,ATHLETIC FIELD,POINT (-87.71669554907267 41.94746629043097),BASEBALL JR/SOFTBALL,OUTDOOR,-87.71669555,41.94746629,1537
111,80,ATHLETIC FIELD,POINT (-87.71669434787789 41.946949193789465),PLAYGROUND,OUTDOOR,-87.71669435,41.94694919,1538
112,80,ATHLETIC FIELD,POINT (-87.71673561243405 41.947159483498865),TENNIS COURT,OUTDOOR,-87.71673561,41.94715948,1539
113,80,ATHLETIC FIELD,POINT (-87.71674052867581 41.94729109067382),TENNIS COURT,OUTDOOR,-87.71674053,41.94729109,1540
114,1021,AUGUSTA (CARPENTER),POINT (-87.73762548832646 41.89855905486072),PLAYGROUND,OUTDOOR,-87.73762549,41.89855906,1541
115,1204,AUSTIN (HENRY),POINT (-87.77243428887259 41.887703703208004),PLAYGROUND,OUTDOOR,-87.77243429,41.8877037,1542
117,1204,AUSTIN (HENRY),POINT (-87.77438197904699 41.88771319968113),WATER PLAYGROUND,OUTDOOR,-87.77438198,41.8877132,1544
118,285,AUSTIN FOSTER,POINT (-87.77856099702151 41.97632959143671),BASEBALL JR/SOFTBALL,OUTDOOR,-87.778561,41.97632959,1545
119,285,AUSTIN FOSTER,POINT (-87.77926093034345 41.97711558374482),BASEBALL JR/SOFTBALL,OUTDOOR,-87.77926093,41.97711558,1546
120,285,AUSTIN FOSTER,POINT (-87.7789692819086 41.97586537105549),PLAYGROUND,OUTDOOR,-87.77896928,41.97586537,1547
